uf,estado,custo_vida,regiao
AC,Acre,3550,Norte
AM,Amazonas,2990,Norte
RR,Roraima,3710,Norte
AP,Amapá,2830,Norte
PA,Pará,3050,Norte
TO,Tocantins,3810,Norte
RO,Rondônia,3100,Norte
MA,Maranhão,2290,Nordeste
PI,Piauí,2690,Nordeste
CE,Ceará,2540,Nordeste
RN,Rio Grande do Norte,2550,Nordeste
PB,Paraíba,2820,Nordeste
PE,Pernambuco,2840,Nordeste
AL,Alagoas,2450,Nordeste
SE,Sergipe,2010,Nordeste
BA,Bahia,3210,Nordeste
MG,Minas Gerais,3360,Sudeste
ES,Espírito Santo,3780,Sudeste
RJ,Rio de Janeiro,3340,Sudeste
SP,São Paulo,4270,Sudeste
PR,Paraná,4300,Sul
SC,Santa Catarina,4180,Sul
RS,Rio Grande do Sul,3360,Sul
MS,Mato Grosso do Sul,3330,Centro-Oeste
MT,Mato Grosso,3360,Centro-Oeste
GO,Goiás,3370,Centro-Oeste
DF,Distrito Federal,4920,Centro-Oeste
